"Index Kriminality","Zjištěno","Objasněno- Počet","Objasněno- Dodatečně","Stíháno, Vyšetřováno Osob - Mladiství 15-17 Let","Stíháno, Vyšetřováno Osob - Recidivisté","Stíháno, Vyšetřováno Osob - Celkem","Stíháno, Vyšetřováno Osob - Nezletilí 1-14 Let","Stíháno, Vyšetřováno Osob - Ženy","Spácháno Skutků - Mladiství 15-17 Let","Spácháno Skutků - Z Toho Alkohol","Spácháno Skutků - Pod Vlivem","Spácháno Skutků - Recidivisté","Spácháno Skutků - Nezletilí 1-14 Let","Škody V Tis. Kč - Zajištěno","Škody V Tis. Kč - Celkem","Časová Jednotka","Kód úz.jednotky","Název úz.jednotky","Počet Obyv. úz. Jednotky"
"24.1230","3061","713","455","15","506","1062","12","127","26","117","122","632","11","473","448183","1-2013","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"24.0126","3047","976","283","16","457","1061","8","126","21","114","116","637","6","76","179220","2-2013","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"26.1877","3323","1093","146","27","451","1051","4","131","42","99","111","592","3","23","293303","3-2013","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"26.3611","3345","1135","143","17","475","1101","6","143","22","124","127","643","5","2","41654","4-2013","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"25.9040","3287","1338","131","23","595","1161","6","115","39","153","165","852","9","165","343726","5-2013","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"24.2096","3072","1223","106","19","525","1097","5","123","17","150","162","736","1","11","188391","6-2013","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"26.3453","3343","1288","68","26","540","1118","6","130","39","128","137","755","6","100","209954","7-2013","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"23.6028","2995","1144","38","20","469","989","1","134","22","137","146","674","1","-11","141102","8-2013","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"24.6746","3131","1269","29","21","505","1066","12","141","38","143","152","691","11","-11","186428","9-2013","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"25.7149","3263","1403","43","23","554","1164","5","130","30","154","166","790","5","0","65490","10-2013","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"22.9330","2910","1404","27","18","515","1140","16","145","29","125","132","790","11","5","200855","11-2013","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"20.2771","2573","1050","28","21","433","893","4","112","30","107","112","576","6","0","180945","12-2013","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"23.6107","2996","785","559","24","554","1144","19","151","37","137","153","736","12","0","304612","1-2014","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"21.5696","2737","899","369","13","559","1109","6","148","28","106","122","699","4","0","145153","2-2014","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"23.4846","2980","1053","222","24","568","1156","18","145","36","122","134","713","11","2","211037","3-2014","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"22.8069","2894","1157","173","27","544","1158","15","169","44","117","130","711","10","4","242685","4-2014","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"21.0967","2677","1159","129","12","518","1067","9","142","21","157","171","695","5","12","101797","5-2014","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"20.7894","2638","1199","117","27","504","1080","10","141","45","140","156","743","13","0","56395","6-2014","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"21.1756","2687","1227","70","19","535","1129","17","155","35","165","177","703","12","36","155019","7-2014","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"19.0714","2420","1073","35","15","458","957","8","142","25","140","147","620","4","0","247458","8-2014","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"18.6143","2362","1145","46","16","497","998","7","143","19","114","129","681","6","0","160418","9-2014","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"19.9383","2530","1334","29","18","568","1131","10","156","49","143","157","757","30","-7","340011","10-2014","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"17.2037","2183","1162","41","19","449","1001","18","136","37","128","140","593","12","10","14705","11-2014","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"15.8718","2014","907","97","13","375","807","6","121","21","121","130","518","8","-7","191162","12-2014","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"18.6774","2370","650","343","19","409","877","6","146","26","131","139","495","8","0","181979","1-2015","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"18.4882","2346","896","336","12","457","960","7","136","21","100","109","693","8","0","512885","2-2015","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"18.4803","2345","1007","295","15","498","1044","5","170","37","134","149","732","7","0","451410","3-2015","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"17.1721","2179","938","166","13","422","913","10","119","22","125","132","551","7","0","215293","4-2015","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"16.4786","2091","924","118","19","419","865","9","110","39","138","155","550","19","140","217853","5-2015","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"16.9121","2146","1051","82","18","402","958","10","151","31","149","170","557","9","0","206835","6-2015","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"16.8884","2143","986","86","11","435","924","7","132","32","151","162","566","11","0","167997","7-2015","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"16.1476","2049","851","34","12","367","815","4","122","13","145","162","447","4","0","207400","8-2015","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"16.1398","2048","1000","51","8","425","858","12","121","30","120","145","588","7","0","87607","9-2015","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"15.6433","1985","986","53","15","430","959","9","132","14","118","134","515","8","10","163512","10-2015","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
